isolate,leafsp,trt,area,lesion1,lesion2,lesion3,totlesion,Unattributed infection area,Percent Infected Attributed Only,Percent Infected Attributed + Unnattributed,AB_Notes,VM_Notes,0% infection
1217 Anacex,Randar,Control 5,1602.152,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Tri2pa,1,3782.431,71.457,281.792,85.826,439.075,0,11.61%,11.61%,whole leaf is wrinkled in addition to lesions,,
1217 Anacex,Tri2pa,2,3315.802,62.633,35.718,57.959,156.31,0,4.71%,4.71%,lesions just yellow color around puncture,,
1217 Anacex,Tri2pa,3,3038.598,83.572,0,0,83.572,0,2.75%,2.75%,whole leaf is wrinkled in addition to lesions,,
1217 Anacex,Tri2pa,4,4673.925,0,0,0,0,,0.00%,0.00%,this leaf is discolored -- infection?,,
1217 Anacex,Tri2pa,5,3790.295,506.626,0,0,506.626,,13.37%,13.37%,,,
1217 Anacex,Tri2pa,Control 1,3179.246,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Tri2pa,Control 2,3511.574,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Tri2pa,Control 3,3306.716,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Tri2pa,Control 4,2505.245,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Tri2pa,Control 5,1797.879,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Aspicr,1,3441.619,2982.122,0,0,2982.122,0,86.65%,86.65%,left as attributed mostly black,,
1330 Laciag,Aspicr,2,4025.017,0,0,0,0,4025.017,0.00%,100.00%,all black (some part fuzzy),,
1330 Laciag,Aspicr,3,3028.268,2412.539,0,0,2412.539,0,79.67%,79.67%,less dark then 1 and 2 still looks darker than normal leaf color,,
1330 Laciag,Aspicr,4,4464.615,164.296,323.789,655.057,1143.142,0,25.60%,25.60%,,,
1330 Laciag,Aspicr,5,3667.107,0,0,0,0,100,0.00%,2.73%,,,
1330 Laciag,Aspicr,Control 1,2631.427,0,0,0,0,100,0.00%,3.80%,,,
1330 Laciag,Aspicr,Control 2,3162.921,2818.981,0,0,2818.981,0,89.13%,89.13%,,,
1330 Laciag,Aspicr,Control 3,4913.998,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Aspicr,Control 4,2967.584,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Aspicr,Control 5,2166.618,1051.598,0,0,1051.598,112.244,48.54%,53.72%,,,
1330 Laciag,Castel,1,3317.801,287.138,0,0,287.138,495.05,8.65%,23.58%,,,
1330 Laciag,Castel,2,2966.227,0,0,0,0,2966.227,0.00%,100.00%,,,
